Id,AccountId,Name,ContactId,Extended_Warranty_Expiration__c,Unique_Serial_Number__c,SerialNumber,Warranty_Expiration_Date__c,Account.Name,Account.Partner_Owner__c
02i1U000000OEh7QAG,0011U00000pT9FAQA0,MPA 0063,,,2 2.1 0063,2 2.1 0063,3/22/2021,Next.Robotics,
02i1U000000OFDoQAO,0011U000008Dh2dQAC,CTR 0028,,,RTR-MPA-0002-2002-0103,RTR-CTR-0001-2024-0028,9/3/2021,Nexty,
02i1U000003mDAPQA2,0011U000007zcnLQAQ,CTR 0072,,,RTR-MPA-0003-2038-0233,RTR-CTR-0001-2043-0072,,Johnan Corp,
02i1U000003mDAQQA2,0011U00001HTTDmQAP,CTR 0073,,,RTR-MPA-0003-2036-0205,RTR-CTR-0001-2043-0073,,Irish Manufacturing Research,0011U00000pT9FAQA0
02i1U000000OEh2QAG,0011U00000pT9FAQA0,MPA 0100,,,2 2.1 0100,2 2.1 0100,3/22/2021,Next.Robotics,
02i1U000000OFDPQA4,0011U000008Dh2dQAC,MPA 0058,,,2 2.1 0058,2 2.1 0058,9/3/2021,Nexty,
02i1U000000OFDQQA4,0011U000008Dh2dQAC,MPA 0062,,,2 2.1 0062,2 2.1 0062,9/3/2021,Nexty,
02i1U0000006IjXQAU,0011U000008D4m1QAC,MPA 0034,,,2 2.1 0034,2 2.1 0034,,Nachi Technology Inc,0011U000007zcnLQAQ
02i1U0000006IkBQAU,0011U00001OFhARQA1,MPA 0042,,,2 2.1 0042,2 2.1 0042,,Kyoto University,0011U000007zcnLQAQ
02i1U0000006IioQAE,0011U000008D4m1QAC,MPA 0025,,,2 2.1 0025,2 2.1 0025,,Nachi Technology Inc,0011U000007zcnLQAQ
02i1U0000006IitQAE,0011U000007zcdGQAQ,MPA 0026,,,2 2.1 0026,2 2.1 0026,,Sony Electronics Inc,0011U000007zcnLQAQ
02i1U0000006IjNQAU,0011U000007zcnLQAQ,MPA 0032,,,2 2.1 0032,2 2.1 0032,,Johnan Corp,
02i1U0000006IjrQAE,0011U000012wREHQA2,MPA 0038,,,2 2.1 0038,2 2.1 0038,,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000003m2snQAA,0011U00000pT9FAQA0,RS 0021,,,,RTR-RS-0001-2035-0021,,Next.Robotics,
02i1U000000OEhCQAW,0011U00001dB4r2QAC,CTR 0023,,,RTR-MPA-0002-2002-0066,RTR-CTR-0001-2024-0023,3/22/2021,Rebel Dynamics,0011U00000pT9FAQA0
02i1U000002PCpPQAW,0011U00000pT9FAQA0,MPA 0085,,,2 2.1 0085,2 2.1 0085,,Next.Robotics,
02i1U000000OEhHQAW,0011U00000pT9FAQA0,CTR 0024,,,RTR-MPA-0002-2002-0067,RTR-CTR-0001-2024-0024,3/22/2021,Next.Robotics,
02i1U000000OEhMQAW,0011U00000pT9FAQA0,CTR 0025,,,RTR-MPA-0002-2002-0100,RTR-CTR-0001-2024-0025,6/18/2021,Next.Robotics,
02i1U000000OEBDQA4,0011U00001EWV6nQAH,MPA 0094,,,2 2.1 0094,2 2.1 0094,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000000OEBEQA4,0011U00001EWV6nQAH,CTR 0004,,,RTR-MPA-0002-2002-0094,RTR-CTR-0001-2021-0004,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000003mDAiQAM,0011U00000pT9FAQA0,CTR 0068,,,RTR-MPA-0003-2038-0225,RTR-CTR-0001-2043-0068,,Next.Robotics,
02i1U000002PCpKQAW,0011U00000pT9FAQA0,MPA 0076,,,2 2.1 0076,2 2.1 0076,,Next.Robotics,
02i1U000000OFE3QAO,0011U000008Dh2dQAC,RS 0014,,,,RTR-RS-0001-2029-0014,9/3/2021,Nexty,
02i1U000000OEMtQAO,0011U00001EWV6nQAH,RS 0001,,,,RTR-RS-0001-2021-0001,5/31/2021,AMRC,0011U00000pT9FAQA0
02i1U000000OFDjQAO,0011U000008Dh2dQAC,CTR 0027,,,RTR-MPA-0002-2002-0058,RTR-CTR-0001-2024-0027,9/3/2021,Nexty,
02i1U000003mD20QAE,0011U00001N9EUHQA3,MPA 0229,,,RTR-MPA-0003-2038-0229,RTR-MPA-0003-2038-0229,,FFT,0011U00000pT9FAQA0
02i1U000003m9dEQAQ,0011U00000pT9FAQA0,RS 0024,,,,RTR-RS-0001-2038-0024,,Next.Robotics,
02i1U000003m9dwQAA,0011U00001h1DG0QAM,CTR 0060,,,RTR-MPA-0003-2036-0222,RTR-CTR-0001-2037-0060,,BMW Innovation Lab,0011U00000pT9FAQA0
02i1U000003m9dIQAQ,0011U00000pT9FAQA0,RS 0022,,,,RTR-RS-0001-2038-0022,,Next.Robotics,
02i1U000003m9dmQAA,0011U000012wREHQA2,CTR 0055,,,RTR-MPA-0003-2036-0221,RTR-CTR-0001-2037-0055,10/20/2021,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000003m9dNQAQ,0011U00000pT9FAQA0,RS 0023,,,,RTR-RS-0001-2038-0023,,Next.Robotics,
02i1U000000OFDUQA4,0011U000008Dh2dQAC,MPA 0103,,,2 2.1 0103,2 2.1 0103,9/3/2021,Nexty,
